OpenTime,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberOfTrades,TakerBuyBaseVolume,TakerBuyQuoteVolume
2026-01-01T12:00:00.000Z,861.60000000,861.60000000,856.14000000,859.12000000,4775.03000000,2026-01-01T12:59:59.999Z,4097167.72961000,28529,2128.22300000,1825877.62515000
2026-01-01T13:00:00.000Z,859.12000000,860.80000000,858.48000000,858.71000000,2617.26000000,2026-01-01T13:59:59.999Z,2249951.88740000,19825,1331.07300000,1144229.29563000
2026-01-01T14:00:00.000Z,858.72000000,859.63000000,857.14000000,857.94000000,2352.25400000,2026-01-01T14:59:59.999Z,2018873.45843000,17711,933.35000000,801108.49967000
2026-01-01T15:00:00.000Z,857.95000000,860.54000000,856.34000000,859.36000000,3682.49600000,2026-01-01T15:59:59.999Z,3160845.06385000,31780,2030.37700000,1743070.51745000
2026-01-01T16:00:00.000Z,859.36000000,859.92000000,857.41000000,858.10000000,2155.10400000,2026-01-01T16:59:59.999Z,1850576.66560000,21667,959.56500000,823920.50581000
2026-01-01T17:00:00.000Z,858.10000000,861.08000000,857.22000000,859.99000000,2900.09900000,2026-01-01T17:59:59.999Z,2493078.24761000,22634,1432.06500000,1231221.90109000
2026-01-01T18:00:00.000Z,859.99000000,860.33000000,858.91000000,860.09000000,1842.99100000,2026-01-01T18:59:59.999Z,1584328.06101000,12106,934.22500000,803165.82687000
2026-01-01T19:00:00.000Z,860.09000000,861.77000000,859.15000000,861.56000000,2061.03900000,2026-01-01T19:59:59.999Z,1773267.54087000,10104,1469.60300000,1264648.11336000
2026-01-01T20:00:00.000Z,861.57000000,862.14000000,860.16000000,861.02000000,2678.48500000,2026-01-01T20:59:59.999Z,2306463.43327000,14446,1087.14800000,936152.85227000
2026-01-01T21:00:00.000Z,861.02000000,862.76000000,860.89000000,862.38000000,1161.90800000,2026-01-01T21:59:59.999Z,1001507.89226000,11267,702.73300000,605715.52427000
2026-01-01T22:00:00.000Z,862.38000000,863.94000000,861.41000000,863.49000000,2680.26400000,2026-01-01T22:59:59.999Z,2312028.29140000,13824,1425.91100000,1230103.79555000
2026-01-01T23:00:00.000Z,863.50000000,864.65000000,862.33000000,864.39000000,2489.56500000,2026-01-01T23:59:59.999Z,2150115.67656000,14954,1154.24800000,996916.80416000
2026-01-02T00:00:00.000Z,864.40000000,865.00000000,861.46000000,864.43000000,3578.32800000,2026-01-02T00:59:59.999Z,3088973.31593000,20886,2113.00900000,1824081.65682000
2026-01-02T01:00:00.000Z,864.43000000,864.84000000,862.00000000,862.53000000,2088.44400000,2026-01-02T01:59:59.999Z,1802377.97335000,14420,1024.94600000,884515.00445000
2026-01-02T02:00:00.000Z,862.54000000,863.18000000,859.64000000,863.18000000,2601.28000000,2026-01-02T02:59:59.999Z,2240249.92310000,15600,1421.79200000,1224660.33232000
2026-01-02T03:00:00.000Z,863.18000000,867.17000000,862.67000000,865.79000000,5646.96700000,2026-01-02T03:59:59.999Z,4886115.60481000,28981,3365.67800000,2912760.23914000
2026-01-02T04:00:00.000Z,865.80000000,866.32000000,863.96000000,864.90000000,4309.18200000,2026-01-02T04:59:59.999Z,3728567.90342000,20137,1794.64500000,1552854.25508000
2026-01-02T05:00:00.000Z,864.90000000,867.11000000,863.08000000,866.15000000,3307.58000000,2026-01-02T05:59:59.999Z,2861076.70840000,18990,1906.61100000,1649535.56087000
2026-01-02T06:00:00.000Z,866.16000000,867.97000000,865.65000000,866.33000000,2783.09000000,2026-01-02T06:59:59.999Z,2412136.15107000,17036,1542.45700000,1336927.06123000
2026-01-02T07:00:00.000Z,866.33000000,866.94000000,864.56000000,864.90000000,4759.68900000,2026-01-02T07:59:59.999Z,4119984.28049000,19850,2591.63100000,2243242.48769000
2026-01-02T08:00:00.000Z,864.89000000,869.35000000,864.89000000,867.93000000,4888.88300000,2026-01-02T08:59:59.999Z,4242708.62965000,28323,2379.19800000,2064563.79317000
2026-01-02T09:00:00.000Z,867.93000000,872.00000000,867.60000000,871.22000000,5777.89000000,2026-01-02T09:59:59.999Z,5024203.48136000,32378,3430.87500000,2983271.47569000
2026-01-02T10:00:00.000Z,871.22000000,874.38000000,870.92000000,871.83000000,6815.70300000,2026-01-02T10:59:59.999Z,5946157.32043000,37294,3242.68300000,2829392.21186000
2026-01-02T11:00:00.000Z,871.84000000,871.85000000,866.52000000,869.51000000,4611.01500000,2026-01-02T11:59:59.999Z,4008244.24055000,31479,2022.79200000,1758317.91739000
2026-01-02T12:00:00.000Z,869.52000000,871.29000000,869.06000000,869.55000000,2334.88900000,2026-01-02T12:59:59.999Z,2031703.52722000,33569,1209.52100000,1052498.13910000
2026-01-02T13:00:00.000Z,869.55000000,872.18000000,869.04000000,870.36000000,3744.67300000,2026-01-02T13:59:59.999Z,3260934.18164000,27198,1694.62100000,1475845.73629000
2026-01-02T14:00:00.000Z,870.37000000,878.00000000,865.26000000,875.32000000,13734.23600000,2026-01-02T14:59:59.999Z,11998094.61261000,83447,6766.62100000,5912168.05108000
2026-01-02T15:00:00.000Z,875.32000000,882.37000000,870.34000000,877.99000000,13810.32800000,2026-01-02T15:59:59.999Z,12118197.35604000,101217,7226.28300000,6342609.46686000
