OpenTime,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberOfTrades,TakerBuyBaseVolume,TakerBuyQuoteVolume
2026-01-01T12:00:00.000Z,77.80000000,77.80000000,77.52000000,77.62000000,3936.23100000,2026-01-01T12:59:59.999Z,305583.00686000,3324,1623.91700000,126086.50838000
2026-01-01T13:00:00.000Z,77.61000000,78.05000000,77.59000000,78.02000000,8673.91200000,2026-01-01T13:59:59.999Z,675528.05538000,5801,4685.04500000,364878.61225000
2026-01-01T14:00:00.000Z,78.02000000,78.35000000,77.91000000,78.13000000,12442.74500000,2026-01-01T14:59:59.999Z,971749.37654000,8372,6028.72600000,470858.13375000
2026-01-01T15:00:00.000Z,78.12000000,79.19000000,78.12000000,78.84000000,18865.64500000,2026-01-01T15:59:59.999Z,1483421.82771000,13777,10976.52800000,863022.23627000
2026-01-01T16:00:00.000Z,78.84000000,79.11000000,78.66000000,78.87000000,14849.19500000,2026-01-01T16:59:59.999Z,1171091.25021000,10687,6951.46700000,548295.99258000
2026-01-01T17:00:00.000Z,78.87000000,79.22000000,78.53000000,78.97000000,24447.83000000,2026-01-01T17:59:59.999Z,1928769.13709000,12522,12776.90000000,1008375.77574000
2026-01-01T18:00:00.000Z,78.97000000,79.14000000,78.93000000,79.04000000,12056.52000000,2026-01-01T18:59:59.999Z,952876.79761000,6537,6693.82000000,529115.43415000
2026-01-01T19:00:00.000Z,79.04000000,79.45000000,79.01000000,79.43000000,7878.11500000,2026-01-01T19:59:59.999Z,623755.85347000,7722,4042.43100000,320120.73472000
2026-01-01T20:00:00.000Z,79.43000000,79.63000000,79.33000000,79.49000000,8544.55900000,2026-01-01T20:59:59.999Z,679048.24697000,7379,4279.19700000,340124.20188000
2026-01-01T21:00:00.000Z,79.49000000,79.66000000,79.27000000,79.64000000,9327.23700000,2026-01-01T21:59:59.999Z,740819.75966000,5483,4768.74200000,378840.42183000
2026-01-01T22:00:00.000Z,79.65000000,79.92000000,79.53000000,79.90000000,7749.62100000,2026-01-01T22:59:59.999Z,617718.55028000,6124,4463.94800000,355877.40361000
2026-01-01T23:00:00.000Z,79.90000000,80.03000000,79.67000000,79.97000000,9340.32600000,2026-01-01T23:59:59.999Z,746195.68738000,7346,5236.57500000,418444.56800000
2026-01-02T00:00:00.000Z,79.97000000,80.03000000,79.55000000,79.70000000,10550.31000000,2026-01-02T00:59:59.999Z,841103.25172000,7343,4475.71700000,356900.46454000
2026-01-02T01:00:00.000Z,79.70000000,79.78000000,79.04000000,79.39000000,17360.73000000,2026-01-02T01:59:59.999Z,1375786.58936000,7099,8583.92600000,680054.26946000
2026-01-02T02:00:00.000Z,79.39000000,79.52000000,79.18000000,79.49000000,4493.48400000,2026-01-02T02:59:59.999Z,356478.58134000,4520,3007.26900000,238573.04305000
2026-01-02T03:00:00.000Z,79.50000000,80.35000000,79.44000000,80.16000000,10460.37500000,2026-01-02T03:59:59.999Z,836480.61163000,10523,5595.21300000,447453.35468000
2026-01-02T04:00:00.000Z,80.16000000,80.28000000,79.64000000,79.71000000,4539.86500000,2026-01-02T04:59:59.999Z,362596.10988000,5174,1695.89400000,135461.75706000
2026-01-02T05:00:00.000Z,79.71000000,79.87000000,79.52000000,79.85000000,5047.02200000,2026-01-02T05:59:59.999Z,402095.16404000,5072,2281.41900000,181800.36917000
2026-01-02T06:00:00.000Z,79.85000000,79.91000000,79.46000000,79.47000000,9950.98900000,2026-01-02T06:59:59.999Z,793213.92553000,5995,3829.26300000,305224.62329000
2026-01-02T07:00:00.000Z,79.47000000,79.55000000,79.20000000,79.32000000,7495.98600000,2026-01-02T07:59:59.999Z,595055.70011000,5700,3753.88500000,298005.41912000
2026-01-02T08:00:00.000Z,79.32000000,79.59000000,79.29000000,79.50000000,8142.74600000,2026-01-02T08:59:59.999Z,646943.99101000,6853,4203.17900000,333916.10205000
