OpenTime,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberOfTrades,TakerBuyBaseVolume,TakerBuyQuoteVolume
2026-01-01T12:00:00.000Z,1.85540000,1.85640000,1.85140000,1.85280000,1111166.60000000,2026-01-01T12:59:59.999Z,2059921.69986000,7259,418794.20000000,776389.90292000
2026-01-01T13:00:00.000Z,1.85290000,1.85930000,1.85210000,1.85830000,1761688.50000000,2026-01-01T13:59:59.999Z,3271012.83170000,10360,874673.70000000,1624083.18205000
2026-01-01T14:00:00.000Z,1.85830000,1.86020000,1.85250000,1.85620000,2365405.80000000,2026-01-01T14:59:59.999Z,4391647.73751000,15775,1293168.50000000,2400860.53949000
2026-01-01T15:00:00.000Z,1.85620000,1.86780000,1.85210000,1.86280000,2359586.40000000,2026-01-01T15:59:59.999Z,4387848.17610000,21321,1209882.30000000,2249897.84095000
2026-01-01T16:00:00.000Z,1.86280000,1.86480000,1.85630000,1.86460000,1971148.30000000,2026-01-01T16:59:59.999Z,3668802.59006000,17406,976686.70000000,1817749.07001000
2026-01-01T17:00:00.000Z,1.86460000,1.87540000,1.86450000,1.86890000,2667478.30000000,2026-01-01T17:59:59.999Z,4990492.03159000,20147,1374660.70000000,2571733.91120000
2026-01-01T18:00:00.000Z,1.86890000,1.87140000,1.86520000,1.86910000,1586230.10000000,2026-01-01T18:59:59.999Z,2963023.47871000,13587,840986.00000000,1570874.97540000
2026-01-01T19:00:00.000Z,1.86910000,1.87420000,1.86740000,1.87420000,863679.80000000,2026-01-01T19:59:59.999Z,1615990.62759000,9761,415387.30000000,777285.49780000
2026-01-01T20:00:00.000Z,1.87420000,1.87640000,1.86820000,1.87180000,1439830.90000000,2026-01-01T20:59:59.999Z,2695389.29817000,11862,793425.70000000,1485279.32573000
2026-01-01T21:00:00.000Z,1.87180000,1.87300000,1.86740000,1.87120000,1054705.70000000,2026-01-01T21:59:59.999Z,1972557.19260000,8757,487114.30000000,910960.74952000
2026-01-01T22:00:00.000Z,1.87110000,1.87650000,1.86840000,1.87620000,1178707.70000000,2026-01-01T22:59:59.999Z,2206534.73396000,9442,643668.00000000,1204900.34524000
2026-01-01T23:00:00.000Z,1.87620000,1.88110000,1.87200000,1.87990000,2567667.30000000,2026-01-01T23:59:59.999Z,4823020.52609000,17343,1437499.50000000,2700556.82451000
2026-01-02T00:00:00.000Z,1.87990000,1.88200000,1.87500000,1.87920000,1947187.20000000,2026-01-02T00:59:59.999Z,3656433.50524000,15500,972823.40000000,1826867.33494000
2026-01-02T01:00:00.000Z,1.87920000,1.88000000,1.87200000,1.87250000,2039701.80000000,2026-01-02T01:59:59.999Z,3827420.20002000,12409,534470.50000000,1002612.11589000
2026-01-02T02:00:00.000Z,1.87240000,1.87720000,1.86890000,1.87720000,1104566.70000000,2026-01-02T02:59:59.999Z,2067879.81157000,10373,575464.10000000,1077507.21736000
2026-01-02T03:00:00.000Z,1.87720000,1.89250000,1.87540000,1.88860000,4720750.30000000,2026-01-02T03:59:59.999Z,8900914.53930000,36991,1886386.20000000,3555575.88334000
2026-01-02T04:00:00.000Z,1.88870000,1.89050000,1.87610000,1.87700000,1918267.70000000,2026-01-02T04:59:59.999Z,3608870.47556000,17628,616064.40000000,1159140.10825000
2026-01-02T05:00:00.000Z,1.87700000,1.87750000,1.87210000,1.87590000,1970439.80000000,2026-01-02T05:59:59.999Z,3695034.57216000,12859,1249678.20000000,2343622.33186000
2026-01-02T06:00:00.000Z,1.87600000,1.88160000,1.87470000,1.87730000,3528959.20000000,2026-01-02T06:59:59.999Z,6624942.85767000,15967,2048453.20000000,3845179.10429000
2026-01-02T07:00:00.000Z,1.87720000,1.87830000,1.87080000,1.87180000,1027244.30000000,2026-01-02T07:59:59.999Z,1925276.17370000,10185,433283.50000000,812145.21445000
2026-01-02T08:00:00.000Z,1.87190000,1.88110000,1.87150000,1.88060000,1311074.60000000,2026-01-02T08:59:59.999Z,2459929.12248000,12410,889430.10000000,1669186.93426000
2026-01-02T09:00:00.000Z,1.88060000,1.90170000,1.87850000,1.89710000,6043631.90000000,2026-01-02T09:59:59.999Z,11433143.67815000,40642,3350334.60000000,6334807.98200000
2026-01-02T10:00:00.000Z,1.89720000,1.90910000,1.89680000,1.89730000,4727152.60000000,2026-01-02T10:59:59.999Z,8987488.69316000,41103,2228295.80000000,4237639.84333000
2026-01-02T11:00:00.000Z,1.89730000,1.89780000,1.88730000,1.89110000,2959917.30000000,2026-01-02T11:59:59.999Z,5599607.10900000,22262,1004301.80000000,1900455.08993000
2026-01-02T12:00:00.000Z,1.89120000,1.90250000,1.88970000,1.89900000,2454700.40000000,2026-01-02T12:59:59.999Z,4655488.28437000,17846,852215.80000000,1616454.73883000
