OpenTime,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberOfTrades,TakerBuyBaseVolume,TakerBuyQuoteVolume
2024-01-01T06:00:00.000Z,42234.01000000,42424.82000000,42208.68000000,42396.69000000,601.37250000,2024-01-01T06:59:59.999Z,25454115.84474920,32653,348.73510000,14759685.25422020
2024-01-01T07:00:00.000Z,42396.69000000,42500.00000000,42396.68000000,42492.46000000,653.67718000,2024-01-01T07:59:59.999Z,27757929.58265320,27661,325.24438000,13809558.55814870
2024-01-01T08:00:00.000Z,42492.46000000,42556.50000000,42452.58000000,42549.99000000,427.19365000,2024-01-01T08:59:59.999Z,18158032.07134770,25046,202.66650000,8614418.42332190
2024-01-01T09:00:00.000Z,42550.00000000,42699.32000000,42537.18000000,42649.69000000,879.62491000,2024-01-01T09:59:59.999Z,37495909.15199460,39685,460.83221000,19643796.81806020
2024-01-01T10:00:00.000Z,42649.69000000,42749.36000000,42628.00000000,42691.10000000,856.81851000,2024-01-01T10:59:59.999Z,36575404.22777850,32952,458.26507000,19562257.29000650
2024-01-01T11:00:00.000Z,42691.10000000,42762.39000000,42605.21000000,42690.20000000,785.16567000,2024-01-01T11:59:59.999Z,33516541.81678610,39801,401.49317000,17138999.10082680
2024-01-01T12:00:00.000Z,42690.21000000,42780.00000000,42611.45000000,42648.38000000,785.52851000,2024-01-01T12:59:59.999Z,33542689.80296340,35778,363.27898000,15513372.62945690
2024-01-01T13:00:00.000Z,42648.37000000,42748.00000000,42612.76000000,42715.54000000,497.20240000,2024-01-01T13:59:59.999Z,21230655.25808760,29662,252.80525000,10794600.80038400
2024-01-01T14:00:00.000Z,42715.54000000,42715.55000000,42580.00000000,42612.24000000,711.01152000,2024-01-01T14:59:59.999Z,30312550.05451630,35688,369.47765000,15750630.37800590
2024-01-01T15:00:00.000Z,42612.24000000,42847.07000000,42586.51000000,42783.05000000,942.70163000,2024-01-01T15:59:59.999Z,40272827.06393290,47628,510.78905000,21818909.62366080
2024-01-01T16:00:00.000Z,42783.05000000,42856.00000000,42664.42000000,42725.15000000,918.71056000,2024-01-01T16:59:59.999Z,39292588.81942730,39979,449.47603000,19222594.94050820
2024-01-01T17:00:00.000Z,42725.15000000,42824.90000000,42704.42000000,42812.70000000,677.33678000,2024-01-01T17:59:59.999Z,28962179.52033760,29871,329.97146000,14108987.89340440
2024-01-01T18:00:00.000Z,42812.71000000,43208.86000000,42812.70000000,43111.10000000,2143.30897000,2024-01-01T18:59:59.999Z,92299025.19713260,93970,1193.23559000,51377573.06984710
2024-01-01T19:00:00.000Z,43111.10000000,43550.00000000,43103.64000000,43517.99000000,1947.61533000,2024-01-01T19:59:59.999Z,84416763.65405150,78415,1043.76600000,45242850.52732760
