OpenTime,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberOfTrades,TakerBuyBaseVolume,TakerBuyQuoteVolume
2026-02-25T12:00:00.000Z,65430.04000000,66684.10000000,65324.62000000,66248.62000000,3176.76103000,2026-02-25T13:59:59.999Z,210073818.03806290,546986,1836.04054000,121402409.80398220
2026-02-25T14:00:00.000Z,66248.63000000,67578.00000000,66202.66000000,67412.33000000,4703.07616000,2026-02-25T15:59:59.999Z,314639913.21251400,1008464,2928.85169000,195968208.42493310
2026-02-25T16:00:00.000Z,67412.32000000,68879.96000000,67404.00000000,68674.20000000,4522.61599000,2026-02-25T17:59:59.999Z,308600339.70028140,866442,2490.78511000,169960619.81922450
2026-02-25T18:00:00.000Z,68674.20000000,69550.00000000,68373.33000000,69038.26000000,3777.84735000,2026-02-25T19:59:59.999Z,260964921.57134850,670700,1781.28261000,123034150.11241800
2026-02-25T20:00:00.000Z,69038.26000000,69988.83000000,68619.22000000,68919.72000000,2639.04953000,2026-02-25T21:59:59.999Z,182521336.79744850,648682,1258.40081000,87078376.93587370
2026-02-25T22:00:00.000Z,68919.72000000,69176.00000000,67600.00000000,67988.04000000,2113.10223000,2026-02-25T23:59:59.999Z,144438740.03012290,481391,1010.06825000,69015687.65367810
2026-02-26T00:00:00.000Z,67988.04000000,68700.00000000,67727.52000000,68248.30000000,1753.75877000,2026-02-26T01:59:59.999Z,119718681.13739290,506010,955.25471000,65193939.25363360
2026-02-26T02:00:00.000Z,68248.30000000,68379.59000000,67779.93000000,68216.86000000,1241.71153000,2026-02-26T03:59:59.999Z,84524822.98314120,393313,610.02269000,41521791.02330170
2026-02-26T04:00:00.000Z,68216.87000000,68860.00000000,68127.58000000,68443.81000000,1074.37857000,2026-02-26T05:59:59.999Z,73574483.07619310,403636,567.23976000,38846076.61914070
2026-02-26T06:00:00.000Z,68443.82000000,68522.00000000,67817.87000000,67825.04000000,1458.77765000,2026-02-26T07:59:59.999Z,99408240.10120440,313575,550.62301000,37544244.48584710
2026-02-26T08:00:00.000Z,67825.05000000,68644.59000000,67792.00000000,68589.41000000,1857.00727000,2026-02-26T09:59:59.999Z,126691249.07610720,373547,1051.96993000,71801059.80504640
2026-02-26T10:00:00.000Z,68589.41000000,68722.64000000,67965.46000000,68051.31000000,1411.61003000,2026-02-26T11:59:59.999Z,96439804.32359920,311854,641.34524000,43829723.23581290
2026-02-26T12:00:00.000Z,68051.30000000,68303.83000000,67848.69000000,67905.35000000,1341.04664000,2026-02-26T13:59:59.999Z,91338861.15121480,389856,687.14479000,46807764.76087360
